timestamp,univ_name,group_name,dept_name,quota,applied,ratio
2026-09-08 07:48:34,상명대,논술,휴먼AI공학전공,5,16,3.20 : 1
2026-09-08 07:48:35,상명대,논술,데이터과학전공,3,6,2.00 : 1
2026-09-08 07:48:36,상명대,논술,컴퓨터과학전공,3,6,2.00 : 1
2026-09-08 07:48:37,국민대,논술,소프트웨어학부,7,20,2.86 : 1
2026-09-08 07:48:38,국민대,논술,인공지능학부,3,4,1.33 : 1
2026-09-08 09:44:27,연세대학교(미래),교과우수자,소프트웨어학부,18,3,0.17 : 1
2026-09-08 09:44:28,고려대학교(세종),크림슨인재전형,전자및정보공학과,33,12,0.36 : 1
2026-09-08 09:44:29,고려대학교(세종),크림슨인재전형,인공지능사이버보안학과,16,16,1.00 : 1
2026-09-08 09:44:30,고려대학교(세종),크림슨인재전형,컴퓨터소프트웨어학과,20,3,0.15 : 1
2026-09-08 09:44:30,고려대학교(세종),논술,전자및정보공학과,21,8,0.38 : 1
2026-09-08 09:44:31,고려대학교(세종),논술,인공지능사이버보안학과,10,1,0.10 : 1
2026-09-08 09:44:32,고려대학교(세종),논술,컴퓨터소프트웨어학과,13,3,0.23 : 1
2026-09-08 09:44:32,상명대,논술,휴먼AI공학전공,5,16,3.20 : 1
2026-09-08 09:44:33,상명대,논술,데이터과학전공,3,6,2.00 : 1
2026-09-08 09:44:34,상명대,논술,컴퓨터과학전공,3,6,2.00 : 1
2026-09-08 09:44:34,국민대,논술,소프트웨어학부,7,22,3.14 : 1
2026-09-08 09:44:35,국민대,논술,인공지능학부,3,4,1.33 : 1
2026-09-08 14:22:07,연세대학교(미래),교과우수자,소프트웨어학부,18,5,0.28 : 1
2026-09-08 14:22:08,고려대학교(세종),크림슨인재전형,전자및정보공학과,33,14,0.42 : 1
2026-09-08 14:22:09,고려대학교(세종),크림슨인재전형,인공지능사이버보안학과,16,18,1.13 : 1
2026-09-08 14:22:10,고려대학교(세종),크림슨인재전형,컴퓨터소프트웨어학과,20,5,0.25 : 1
2026-09-08 14:22:10,고려대학교(세종),논술,전자및정보공학과,21,10,0.48 : 1
2026-09-08 14:22:11,고려대학교(세종),논술,인공지능사이버보안학과,10,1,0.10 : 1
2026-09-08 14:22:12,고려대학교(세종),논술,컴퓨터소프트웨어학과,13,3,0.23 : 1
2026-09-08 14:22:13,상명대,논술,휴먼AI공학전공,5,17,3.40 : 1
2026-09-08 14:22:14,상명대,논술,데이터과학전공,3,7,2.33 : 1
2026-09-08 14:22:14,상명대,논술,컴퓨터과학전공,3,8,2.67 : 1
2026-09-08 14:22:16,국민대,논술,소프트웨어학부,7,30,4.29 : 1
2026-09-08 14:22:17,국민대,논술,인공지능학부,3,7,2.33 : 1
2026-09-08 18:51:22,연세대학교(미래),교과우수자,소프트웨어학부,18,6,0.33 : 1
2026-09-08 18:51:22,고려대학교(세종),크림슨인재전형,전자및정보공학과,33,16,0.48 : 1
2026-09-08 18:51:23,고려대학교(세종),크림슨인재전형,인공지능사이버보안학과,16,22,1.38 : 1
2026-09-08 18:51:24,고려대학교(세종),크림슨인재전형,컴퓨터소프트웨어학과,20,6,0.30 : 1
2026-09-08 18:51:25,고려대학교(세종),논술,전자및정보공학과,21,12,0.57 : 1
2026-09-08 18:51:26,고려대학교(세종),논술,인공지능사이버보안학과,10,1,0.10 : 1
2026-09-08 18:51:26,고려대학교(세종),논술,컴퓨터소프트웨어학과,13,4,0.31 : 1
2026-09-08 18:51:27,상명대,논술,휴먼AI공학전공,5,20,4.00 : 1
2026-09-08 18:51:28,상명대,논술,데이터과학전공,3,8,2.67 : 1
2026-09-08 18:51:28,상명대,논술,컴퓨터과학전공,3,8,2.67 : 1
2026-09-08 18:51:29,국민대,논술,소프트웨어학부,7,37,5.29 : 1
2026-09-08 18:51:30,국민대,논술,인공지능학부,3,11,3.67 : 1
2026-09-08 22:55:35,연세대학교(미래),교과우수자,소프트웨어학부,18,8,0.44 : 1
2026-09-08 22:55:35,고려대학교(세종),크림슨인재전형,전자및정보공학과,33,22,0.67 : 1
2026-09-08 22:55:36,고려대학교(세종),크림슨인재전형,인공지능사이버보안학과,16,30,1.88 : 1
2026-09-08 22:55:37,고려대학교(세종),크림슨인재전형,컴퓨터소프트웨어학과,20,8,0.40 : 1
2026-09-08 22:55:38,고려대학교(세종),논술,전자및정보공학과,21,14,0.67 : 1
2026-09-08 22:55:38,고려대학교(세종),논술,인공지능사이버보안학과,10,2,0.20 : 1
2026-09-08 22:55:39,고려대학교(세종),논술,컴퓨터소프트웨어학과,13,6,0.46 : 1
2026-09-08 22:55:40,상명대,논술,휴먼AI공학전공,5,29,5.80 : 1
2026-09-08 22:55:41,상명대,논술,데이터과학전공,3,11,3.67 : 1
2026-09-08 22:55:41,상명대,논술,컴퓨터과학전공,3,15,5.00 : 1
2026-09-08 22:55:42,국민대,논술,소프트웨어학부,7,57,8.14 : 1
2026-09-08 22:55:43,국민대,논술,인공지능학부,3,19,6.33 : 1
